Y_position_um,Overshoot_LOAD_%,Overshoot_GND_%,Max_in_gap_LOAD_µA,Max_in_gap_GND_µA,Mean_plateau_LOAD_µA,Mean_plateau_GND_µA
1900,+15.377,+9.494,9902.988,9394.738,8583.175,8580.111
2100,+17.171,+11.869,9285.386,8856.523,7924.619,7916.890
