Y_position_um,Overshoot_LOAD_%,Overshoot_GND_%,Max_in_gap_LOAD_µA,Max_in_gap_GND_µA,Mean_plateau_LOAD_µA,Mean_plateau_GND_µA
2300,+12.778,+7.567,9667.280,9222.767,8571.983,8573.957
2500,+14.446,+7.876,9822.175,9266.013,8582.375,8589.521
