X_position_um,Overshoot_LOAD_%,Overshoot_GND_%,Max_in_gap_LOAD_µA,Max_in_gap_GND_µA,Mean_plateau_LOAD_µA,Mean_plateau_GND_µA
6500,-8.228,-8.228,709.376,709.376,772.976,772.976
6700,-4.962,-4.962,726.583,726.583,764.517,764.517
